city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time
SB,1,2,7,2620,5006,132.57,19.985,380,104,132.57,46.794
SB,2,2,7,2620,5006,116.31,15.787,380,104,116.31,32.71
SB,3,2,7,2620,5006,261.88,50.187,380,104,261.88,214.653
SB,4,2,7,2620,5006,0.0,6.233,380,104,0.0,3.669
SB,5,2,7,2620,5006,138.31,16.852,380,104,138.31,39.298
SB,6,2,7,2620,5006,137.29,24.445,380,104,137.29,39.963
SB,7,2,7,2620,5006,232.12,22.428,380,104,232.12,52.522
SB,8,2,7,2620,5006,0.0,5.411,380,104,0.0,6.295
SB,9,2,7,2620,5006,140.19,12.241,380,104,140.19,30.06
SB,10,2,7,2620,5006,263.73,28.813,380,104,263.73,309.083
SB,1,3,6,3368,6301,0.0,3.098,488,127,0.0,2.559
SB,2,3,6,3368,6301,0.0,1.012,488,127,0.0,2.116
SB,3,3,6,3368,6301,0.0,2.129,488,127,0.0,1.351
SB,4,3,6,3368,6301,0.0,2.232,488,127,0.0,2.35
SB,5,3,6,3368,6301,0.0,2.677,488,127,0.0,2.906
SB,6,3,6,3368,6301,0.0,2.022,488,127,0.0,6.003
SB,7,3,6,3368,6301,0.0,2.234,488,127,0.0,2.89
SB,8,3,6,3368,6301,119.32,24.931,488,127,119.32,47.874
SB,9,3,6,3368,6301,0.0,3.119,488,127,0.0,5.444
SB,10,3,6,3368,6301,0.0,2.562,488,127,0.0,2.891
SB,1,4,4,2994,5202,68.79,12.627,434,114,68.79,28.374
SB,2,4,4,2994,5202,120.04,22.991,434,114,120.04,114.237
SB,3,4,4,2994,5202,0.0,2.126,434,114,0.0,3.915
SB,4,4,4,2994,5202,116.71,17.915,434,114,116.71,326.021
SB,5,4,4,2994,5202,109.51,9.056,434,114,109.51,101.276
SB,6,4,4,2994,5202,0.0,2.231,434,114,0.0,10.176
SB,7,4,4,2994,5202,128.07,43.494,434,114,128.07,46.22
SB,8,4,4,2994,5202,120.72,143.263,434,114,120.72,282.8
SB,9,4,4,2994,5202,82.5,26.551,434,114,82.5,55.478
SB,10,4,4,2994,5202,116.71,6.412,434,114,116.71,33.463
SB,1,5,3,2807,4502,243.54,5.757,407,107,243.54,62.621
SB,2,5,3,2807,4502,145.15,1.892,407,107,145.15,6.22
SB,3,5,3,2807,4502,119.32,3.122,407,107,119.32,3.787
SB,4,5,3,2807,4502,116.08,2.111,407,107,116.08,4.034
